,,,source,author,title,description,url,urlToImage,publishedAt,content,category,country
,,,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Bloomberg,A $2.5 billion debt bill shows risks ahead for Vedanta - Economic Times,"Indian mining company Vedanta Resources, which is rated junk by credit agencies, faces a record annual bill of $2bn due in 2024 and another $500m bond payment on 31 May. While the May bond is trading close to par, pricing data on other bonds suggest concerns â€¦",https://economictimes.indiatimes.com/markets/stocks/news/a-2-5-billion-debt-bill-shows-risks-ahead-for-vedanta/articleshow/100639490.cms,"https://img.etimg.com/thumb/msid-100639617,width-1070,height-580,imgsize-2141149,overlay-etmarkets/photo.jpg",2023-05-31T05:17:00Z,"A moment of reckoning is approaching for Vedanta Resources Ltd. Indian billionaire Anil Agarwals miner has $500 million worth of debt to pay on May 31, and another $2 billion due in 2024 a record annâ€¦ [+4477 chars]",business,in
,,,"{'id': None, 'name': 'BusinessLine'}",BusinessLine,"Adani Transmission, Adani Total Gas shares slump on MSCI exit - BusinessLine",,https://www.thehindubusinessline.com/markets/adani-transmission-adani-total-gas-shares-slump-on-msci-exit/article66914534.ece,,2023-05-31T05:05:21Z,,business,in
,,,"{'id': None, 'name': 'Moneycontrol'}",Moneycontrol News,SBI slides marginally by 2% as it turns ex dividend - Moneycontrol,"During the announcement of its March quarter results, SBI declared a dividend of Rs 11.30 per share for the fiscal year 2023 against Rs 7.10 a share in FY22.",https://www.moneycontrol.com/news/business/earnings/sbi-slides-marginally-by-2-as-it-turns-ex-dividend-10706981.html,https://images.moneycontrol.com/static-mcnews/2023/03/SBI-1-770x433.jpg,2023-05-31T05:02:20Z,"Shares of State Bank of India (SBI) declined nearly 2 percent after going ex-dividend on May 31. The stock reached a low of Rs 579.05 on the BSE. At 10.17am, the scrip was trading at Rs 582 on BSE, dâ€¦ [+1916 chars]",business,in
,,,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Shivendra Kumar,Sebi floats consultation paper on additional disclosures by FPIs - Economic Times,India's Securities and Exchange Board (SEBI) has published a consultation paper seeking responses from the public on proposed guidelines on additional public disclosures by foreign portfolio investors with INR250bn ($3.7bn) of assets under management in equitâ€¦,https://economictimes.indiatimes.com/markets/stocks/news/sebi-floats-consultation-paper-on-additional-fpi-disclosure-requirements/articleshow/100638879.cms,"https://img.etimg.com/thumb/msid-100638883,width-1070,height-580,imgsize-225962,overlay-etmarkets/photo.jpg",2023-05-31T04:55:00Z,Securities and Exchange Board of India (Sebi) on Wednesday floated a consultation paper for public comments to frame guidelines on additional public disclosures by the foreign portfolio investors (FPâ€¦ [+2407 chars],business,in
,,,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,"Hot Stocks: Brokerage view on SBI, JK Cement, Coal India, Tata Motors and Policybazaar - The Economic Times","Top brokerage firms have shared their recommendations on some Indian companies. BofA Securities maintained a buy rating on SBI with a target price of Rs 1030, while Jefferies downgraded JK Cement to hold with a target price of Rs 3260. JPMorgan remained overwâ€¦",https://economictimes.indiatimes.com/markets/stocks/news/hot-stocks-brokerage-view-on-sbi-jk-cement-coal-india-tata-motors-and-policybazaar/articleshow/100638586.cms,"https://img.etimg.com/thumb/msid-100638544,width-1070,height-580,imgsize-45264,overlay-etmarkets/photo.jpg",2023-05-31T04:37:00Z,"Brokerage firm BofA Securities maintained a buy rating on SBI, Jefferies downgraded JK Cement to Hold, JPMorgan remained overweight on Coal India, CLSA has a buy rating on Tata Motors and Citi maintaâ€¦ [+2605 chars]",business,in
,,,"{'id': None, 'name': 'Moneycontrol'}",Moneycontrol News,"Abrdn sells 1.6% stake, exits HDFC Life Insurance - Moneycontrol","The shares of the private insurer were offered at Rs 563-585, according to the terms obtained by Bloomberg.",https://www.moneycontrol.com/news/business/stocks/abrdn-sells-1-6-stake-exits-hdfc-life-insurance-10704741.html,https://images.moneycontrol.com/static-mcnews/2022/09/HDFC-Life-770x433.jpg,2023-05-31T04:34:13Z,"About 3.6 crore shares, or 1.6 percent equity, of HDFC Life Insurance changed hands inÂ the block deal window on May 31. While the buyers were not known immediately, it was earlier reported that Abrdnâ€¦ [+1755 chars]",business,in
,,,"{'id': 'the-hindu', 'name': 'The Hindu'}",The Hindu,"Top AI CEOs, experts raise 'risk of extinction' from AI - The Hindu",,https://www.thehindu.com/news/international/top-ai-ceos-experts-raise-risk-of-extinction-from-ai/article66914491.ece,,2023-05-31T04:29:00Z,,business,in
,,,"{'id': None, 'name': 'Hindustan Times'}",Shubhodeep Chakravarty,"Maruti Suzuki Jimny to Honda Elevate SUV and more: Top launches, unveils in June - HT Auto","From mass-market manufacturers like Maruti Suzuki, Hyundai and Honda to luxury players like Mercedes, OEMs are once again raring to showcase and unleash their newer offerings in the Indian market come June.",https://auto.hindustantimes.com/auto/cars/maruti-suzuki-jimny-to-honda-elevate-suv-and-more-top-launches-unveils-in-june-41685503009814.html,https://images.hindustantimes.com/auto/img/2023/05/31/1600x900/Jimny_Exter_1685506805471_1685506814166.jfif,2023-05-31T04:25:10Z,SUVs are the strong flavour among most buyers in the Indian car market and manufacturers are only too keen to oblige. So while the bread and butter of the passenger vehicle industry still are the smaâ€¦ [+2678 chars],business,in
,,,"{'id': None, 'name': 'Saurenergy.com'}",Saurenergy,MNRE Clarifies No Plan To Cut Import Duty On Solar Panels - Saurenergy,"Following reports that the government plans to cut import duty on PV panels, the MNRE has seen it fit to clarify that no such plans exist.",https://www.saurenergy.com/solar-energy-news/mnre-clarifies-no-plan-to-cut-import-duty-on-solar-panels,https://img.saurenergy.com/2020/04/mnre-ministry-of-new-and-renewable-energy.jpg,2023-05-31T04:23:16Z,,business,in
,,,"{'id': None, 'name': 'Moneycontrol'}",Moneycontrol News,Analysts see 42% upside in Adani Ports but stock falls post Q4 results - Moneycontrol,"CLSA has maintained its â€˜buyâ€™ rating on the Adani Group company and hiked its target price to Rs 878 from 792. Meanwhile, Nomura has also retained its â€˜buyâ€™ call on the stock with a target price of Rs 1,025.",https://www.moneycontrol.com/news/business/markets/analysts-see-42-upside-in-adani-ports-but-stock-falls-post-q4-results-10705961.html,https://images.moneycontrol.com/static-mcnews/2019/02/Adani_Ports-770x433.jpg,2023-05-31T04:22:53Z,"Shares of Adani Ports and Special Economic Zone (ASPEZ) dropped 2 percent on May 31 despite an upbeat commentary from the analysts and company.
CLSA has maintained its buy rating on the Adani Group â€¦ [+2028 chars]",business,in
